"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Armenia","ARM","Military expenditure (current USD)","MS.MIL.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","9829763.86600769","","52228583.8170226","52410268.5482839","64062121.1905135","66757573.0568511","68234148.5659606","68052142.0654426","66247626.4597048","64106405.6523643","76587998.887282","98070488.1985412","140738102.677157","188189116.431112","280108688.343921","395994365.442251","359499343.487034","395011507.787829","390871433.902191","380571678.896068","444551859.501106","457807021.791353","447379807.506819","431396218.601658","443610413.340995","513252026.482368","652000174.824083","633960400.11526","619435471.710093","795201580.049707","1326245679.38669","1418011710.7943","",
"American Samoa","ASM","Military expenditure (current USD)","MS.MIL.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Military expenditure (current USD)","MS.MIL.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Military expenditure (current USD)","MS.MIL.XPND.CD","459760073.561612","470960075.353612","489440078.310413","553280088.524814","655760104.921617","787360125.97762","986720157.875225","1197840191.65443","1321600211.45603","1314880210.38083","1277360204.37763","1331754789.44566","1484443744.94753","1855729306.59264","2127274762.94236","2268707674.46336","2441084024.61737","2500485127.38059","2816316205.75076","3100685079.26643","3657867289.72814","4323644156.90375","4459544581.75223","4511671066.02643","4925319432.74361","4386859325.7862","4606710027.60751","5057135655.16952","5836347868.20948","6300015815.27756","6704213698.03132","7023509067.11535","6882091580.0683","6733829289.52236","7459696581.9777","7665878445.99453","8202776516.98934","7936884917.39524","7107542890.88659","7770250653.24688","7273760312.61052","7043145895.39887","7946766201.59082","9926649415.33553","11995219709.5054","13237798498.6292","14239779513.0914","17186440961.6173","18633092318.2741","18960138513.0129","23217692815.7335","26597198655.3381","26216580848.4356","24825262588.8168","25783708714.0042","24046205860.2554","26382947050.0183","27691112416.8515","26839820914.4018","26079346314.3255","27300894700.6194","32718066816.8168","32445330432.014","32387989797.746","33819572368.4211","",
"Austria","AUT","Military expenditure (current USD)","MS.MIL.XPND.CD","91559097.9576499","91029854.6168543","100026991.410381","125959915.109368","164594678.987452","142895702.014829","167770139.032226","176767275.825752","182059709.233709","193173819.390418","199524739.479966","209277606.745348","249425547.367042","328898821.44589","422543505.786049","546724394.020795","581408727.267149","686893244.300868","877450655.245279","1049972515.42533","1152895906.47504","969372327.098363","995369996.934841","991995097.475966","949715291.722829","1036872489.29208","1475426088.99424","1737112605.38592","1713954576.8605","1623488055.24644","1972701681.51639","1994055545.99645","2139925321.74009","2115115266.68433","2227560550.13156","2557834494.18618","2457903048.65764","2164802343.39854","2159796003.21024","2124379545.86859","1925557398.19421","1788798310.52966","1881746741.32982","2381962768.92309","2679282064.65391","2686166243.8442","2640185362.43902","3499817967.31076","3746731607.28018","3334754939.61878","3218351224.09923","3409721208.58269","3187227448.7533","3229065841.34293","3305159256.48245","2665409781.52379","2885947386.10357","3153118623.81495","3387982011.96842","3336542767.57725","3840077510.54371","4196428571.42857","3612733177.95148","4452227950.61387","5258693991.82582","",
"Azerbaijan","AZE","Military expenditure (current USD)","MS.MIL.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11070110.701107","77519379.8449612","43942747.0585426","66159968.9138776","71606841.2432157","92086691.9675062","107262858.619798","120262173.966334","119575651.71524","131963660.064189","139894091.943335","176552162.305808","228249631.62565","304521477.7332","717111853.555619","946599792.104637","1607799225.91952","1472909976.94651","1476608733.57005","3080084995.80846","3246122612.63039","3367574161.19744","3427179917.06482","2900551382.15215","1396969107.65832","1528859592.29385","1672176470.58824","1854235294.11765","2237764705.88235","2703176470.58824","2991035294.11765","3561670588.23529","3777088235.29412","",
"Burundi","BDI","Military expenditure (current USD)","MS.MIL.XPND.CD","","380000","8420000","1012000","1162000","2153481.48148148","2286857.14285714","2376000","2590857.14285714","3337142.85714286","","2628571.42857143","3600000","5923067.59919576","7682539.68253968","8533333.33333333","9971014.49275362","13955555.5555556","17033333.3333333","20000000","27763333.3333333","29995555.5555556","36665555.5555555","34369644.2000553","29938434.0358703","32220298.1166781","34607737.5165322","30784856.4306756","34255493.4292532","37903281.7157947","39602347.3767189","42751758.8271914","38986476.4309684","36267402.586704","41909745.0348687","42108929.8798432","50893980.7826337","61870123.82539","58736036.2332111","50571188.2632257","42321552.2157761","53230373.1063777","44910067.0535236","43413201.3079382","44872377.1459715","49557129.3847889","44717502.0414512","46308706.2216348","43856319.9487218","","","","58966662.2761714","60859500.0932422","62177428.7401455","66164584.4355924","66462843.0779874","63908678.4320088","65436595.2627955","84689413.9182017","67474092.716297","68376397.1357831","101434221.215165","145168021.651148","171829784.578258","",
"Belgium","BEL","Military expenditure (current USD)","MS.MIL.XPND.CD","383220247.363793","391218827.402035","422220787.917416","444601321.532591","497059226.927638","500722082.825724","563377895.390772","607918707.189363","646381114.508621","675078864.353312","747755088.868629","828721558.437287","1026588090.80827","1296519775.36788","1482318435.92776","1927662477.54259","2109619988.35942","2496513861.83075","3166647025.36802","3631580468.11257","3958575326.74283","3385176171.48879","2891774968.21585","2671831608.17975","2407447484.34478","2428223976.52078","3404311037.66514","4162992929.13576","4097149308.30983","3880733005.73301","4644324240.80376","4624500746.00154","4131298112.21321","3746042850.89637","3944101812.83271","4449014834.61072","4241865967.61501","3684095388.87611","3664288413.2382","3598447519.62175","3190805233.09379","3036035471.71837","3147146016.65804","3875697772.32025","4262663512.81717","4228224643.0881","4307895340.97481","5163979973.66685","6295821584.20918","5620670062.77758","5244720513.34689","5499370964.2666","5168997833.7235","5263164882.84678","5191507314.94392","4202062770.32272","4255489554.61624","4432808395.99139","4840126057.85914","4761195700.85087","5317451270.94495","6239356669.82025","6890161299.82246","7629396588.60593","8561520105.74799","",
"Benin","BEN","Military expenditure (current USD)","MS.MIL.XPND.CD","1301005.3222945","2173203.94683193","2734537.61825855","2963071.79939269","3803662.45352553","3994923.71287149","3724387.20601763","3910553.2091333","4293821.82457132","4015987.01343663","4099087.20238203","4285361.4956638","4904216.99176282","6698401.4464599","6447726.47016057","7857666.1238469","7160493.82716049","10147346.141322","8552841.49324636","17562828.480364","23617947.7470655","17186114.2085371","16554779.888377","17765951.3050233","21237787.6999339","19810222.5199939","26277338.538749","35602937.4087051","36931589.2670087","28525930.384191","32817291.9765669","","","","","","","","","17843134.3887192","14496275.1553423","13112535.622252","26000447.6404185","34544046.7997247","41780478.3402898","44706029.5600871","46786130.9261986","","64724601.1098581","","","","78223091.0412182","86003157.6390576","92990706.1881213","90896085.8906078","79581568.0520594","116142782.36694","90212425.9945842","68112390.3078378","71817818.4788086","97424488.8098852","110010370.317322","149035288.004743","154107719.732787","",
"Burkina Faso","BFA","Military expenditure (current USD)","MS.MIL.XPND.CD","1268378.22957238","1643154.20370219","4901760.7157142","5281287.75263656","5358593.13463414","3509330.32999947","3907553.78992014","3695106.93045963","3760628.52180236","4023680.4751482","4185916.94012004","4343468.09221517","4947862.93586427","6079259.18282194","6269084.56409298","18062366.7253036","19531282.6951245","22903777.2712471","32372283.475733","32032417.8975376","35360658.841348","33915894.7635713","32866107.1313366","29317755.9792792","26968328.6913815","27106616.8369084","51180170.138548","50712557.8547733","57186887.2713599","66816506.1691243","84465502.3598333","69505542.2233408","71116618.5604401","60526975.6288781","30259093.4879909","36862814.2354572","37141874.1398724","38549246.2337386","39494738.5550011","41741175.4769782","36658539.0518782","36832965.231045","42468449.9589663","50757054.3702684","65684242.4070341","73843342.1553535","72632867.3334736","107816728.462423","116999586.873751","127333296.624635","123700474.683864","138850860.201837","147729698.91896","166136345.235204","177166971.776294","147934736.66413","149467363.227452","191065838.764304","305781079.057984","357921557.517774","382464677.360491","458279098.444886","562583349.170273","827153018.861823","1023672220.14258","",
"Bangladesh","BGD","Military expenditure (current USD)","MS.MIL.XPND.CD","","","","","","","","","","","","","","48606800.1313768","72298235.0382714","80830559.4733651","105287729.075513","128522908.761231","134871031.705263","136251932.925634","167255351.167634","174106138.716989","184674562.508557","231804492.459502","244337571.539817","224948007.05318","248796417.166614","288311839.747867","331995586.627989","378796135.246148","373023438.959292","381720110.052258","427723624.979361","471044672.335061","547417522.185003","620095155.928424","638958844.832812","681915123.987305","701585600.35317","737412573.607247","740798160.005685","705481695.212977","681816161.719721","719442956.940887","770641160.288967","773677668.179153","829682794.837739","953464223.599622","1030020018.23876","1258791156.60238","1624625085.96641","1801539801.81356","1823425076.37789","2047989070.87034","2355991524.71152","2815281640.95454","3239753509.63918","3266033239.35658","3649623807.57659","4348501894.83657","4651183348.26269","4849929469.84836","4214350329.15342","3782793038.25623","4034561892.72044","",
"Bulgaria","BGR","Military expenditure (current USD)","MS.MIL.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2071428571.42857","794520547.945205","232176386.59336","255770911.521259","282674243.302795","241993434.773533","311147105.587547","213616356.26711","244369396.151925","320389011.33859","357224539.583311","351343204.852869","406003542.804308","455950466.542769","569054077.451376","620909015.878256","667670395.710647","715719535.423628","990168293.621637","1161451477.80304","904961292.111268","832549293.00997","757931260.042945","722052494.990309","811634330.232022","747532532.136439","632509635.003401","670592858.359724","720037970.85424","961297274.594496","2158557527.18947","1119011539.8065","1275244890.55509","1436901369.51973","1989703477.83817","2329834254.14365","",
"Bahrain","BHR","Military expenditure (current USD)","MS.MIL.XPND.CD","","","","","","","","","","","","11583922.3582339","12539956.8625484","16765508.0949879","26346455.8950195","16434892.5410872","26289247.4450138","40439782.6361683","116143119.294469","157225700.11294","175066312.997347","239361702.12766","311170212.765958","183510638.297872","164893617.021277","167553191.489362","178191489.361702","178191489.361702","207446808.510638","218085106.382979","239361702.12766","263297872.340426","279255319.148936","279255319.148936","284574468.085106","303191489.361702","321808510.638298","321808510.638298","329787234.042553","364361702.12766","359042553.191489","372340425.531915","444148936.170213","515957446.808511","531914893.617021","513297872.340426","574202127.659575","642553191.489362","719946808.510638","828191489.361702","842819148.93617","1033510638.29787","1182180851.06383","1347606382.97872","1475265957.44681","1442021276.59574","1505534574.46809","1532712765.95745","1527659574.46809","1557712765.95745","1404787234.04255","1437500000","1598069148.93617","1622393617.02128","1383973404.25532","",
"Bahamas, The","BHS","Military expenditure (current USD)","MS.MIL.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Military expenditure (current USD)","MS.MIL.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","241025517.642926","202282838.891357","200100307.270373","173304847.652475","178375570.051377","195049685.094472","233292390.653086","242471357.847559","219915489.524222","211878260.622344","197344650.21252","197617188.825905","190380454.641275","162215681.880471","157912010.578703","156258302.093929","172073317.814949","165369204.350315","167521865.889213","209721886.336155","184484799.336616","197332515.798312","215974868.507652","",
"Belarus","BLR","Military expenditure (current USD)","MS.MIL.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","179081676.937766","182805614.55491","249384139.428528","227586087.288305","165903848.853768","140326204.73339","177697841.726619","204364237.375204","231563860.43768","314314017.757122","452684068.306544","631831238.109449","746943263.997614","883027522.93578","675426505.075097","767699285.884553","756277351.280397","807423262.843503","959801690.305798","821490199.261989","642492621.860309","719624427.112323","748831971.680445","923260053.642986","899710685.507974","861053278.688525","951238823.019656","1105174741.30497","1579331078.5419","1491391768.48364","",
"Belize","BLZ","Military expenditure (current USD)","MS.MIL.XPND.CD","","","","","","","","","","","","","","","","","","","695125","1128250","1682000","2079250","2576875","2899750","3256125","3263000","","","","4355375","4768750","4732875","5292125","6130375","7899375","8052875","7965875","9395000","","","7116125","7454662.5","7829937.5","8552225","9486150","10710962.5","12283037.5","13759075","18717737.5","17267537.5","15337250","15416250","15219125","17778875","19916875","19717625","21712887.5","23055950","23341162.5","24424950","26025325","26703375","27805037.5","30566587.5","30137800","",
"Bermuda","BMU","Military expenditure (current USD)","MS.MIL.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Military expenditure (current USD)","MS.MIL.XPND.CD","","4935417.96405309","5195618.57100147","6404292.35811652","","","","","11583123.7931858","12254609.230472","16787135.9321534","15863843.4558849","20700640.9421659","21129139.9666588","39766636.0693248","58304466.4174311","66776055.5550065","73254329.6013878","97672439.468517","119737096.068101","159008134.942347","238715537.624444","123726843.539984","89973482.5986752","144680785.749052","131208000.213663","92869207.2219058","103362387.152732","92916951.6674937","101690872.434517","137065127.51571","143643960.107356","141441910.309395","109897117.990753","134595240.362557","140760862.77222","146963017.847677","180200446.875488","228677000.361153","176744242.061382","173245422.524961","188919478.55279","157345536.246862","173406474.535753","166383141.75173","163958866.22217","167909985.854297","195364180.930425","365826318.090386","305420456.957265","547246000.161045","403569202.360977","499873229.567294","564512107.577424","625909654.613603","580617340.150506","519309934.32642","574126113.37395","602855917.994829","593158568.591264","510495827.347146","536247233.213096","429365590.625774","588816403.688688","655130126.365488","",
"Brazil","BRA","Military expenditure (current USD)","MS.MIL.XPND.CD","382729752.052851","342339720.821958","387449035.549939","441999606.218533","354227857.06906","632869026.537902","718216574.564932","746139163.630054","755307566.684812","816622810.997187","1026234373.82096","1075071452.91974","1195501487.56211","1512670977.08737","1790114213.37072","2141126693.28147","2576476981.66804","2499644658.35739","2690623101.76157","2829161199.58493","2259307478.86009","2517859757.17182","3031328924.09642","2082669250.91503","2013151757.88161","2687049984.34728","2758186568.47748","4323674770.1207","5874167752.84461","8761486965.81023","9236296955.40526","6694665295.15063","4993804466.92814","7099899155.09737","10591499118.3781","14318919608.0931","14073226544.6224","13934266551.6378","14357357046.8411","9866973918.50843","11344032534.9018","10930231568.3746","9664561903.32699","8392905884.03499","9780111585.16574","13588619736.3611","16404867307.489","20485758014.6477","24452903035.8224","25648809910.8246","34002944470.0238","36936209895.8053","33987005074.0629","32874787230.5887","32660239369.4525","24617701683.0655","24224746901.4667","29261833096.6693","28177406872.2637","25906871196.7546","19591209004.4634","19187122475.4493","20542063567.3716","21788291072.4883","20947723265.0291","",
"Barbados","BRB","Military expenditure (current USD)","MS.MIL.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Military expenditure (current USD)","MS.MIL.XPND.CD","","","","","","","","","","","","9868097.73741424","10345585.8360879","14215522.7814429","21818972.6985847","41281153.797495","67669294.6528306","71685660.4082971","89229646.1772544","171464572.14333","142386781.305897","155271241.87647","168998420.575509","117119803.12818","97366249.7421569","101752153.262278","110162485.877782","104464429.861632","178392184.534044","186129028.949986","231168587.554413","245434285.548899","251692787.466927","233941291.875801","261876080.238831","285738475.214833","328359479.163712","369070790.202113","293977055.449331","258413177.892104","244205201.976844","217667939.186927","226182431.489062","243373245.014866","199381149.311041","248588079.788512","293436463.532062","323137150.819455","361989034.484219","349759722.804678","390719540.010708","415371528.964711","411261473.947038","412094279.75415","527785180.451652","424022039.167265","403366488.712977","346706804.42155","357708767.503726","414728739.002933","436548223.350254","453337798.615762","435857351.159602","448911490.729443","558608208.955224","",
"Bhutan","BTN","Military expenditure (current USD)","MS.MIL.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Military expenditure (current USD)","MS.MIL.XPND.CD","","","","","","","","","","","","","","","","","","5650505.96227849","14305862.2942268","24355619.031493","31844060.6002123","31162681.7474526","23551463.5899229","24454614.2415651","26109660.5744125","20997913.3487861","34310908.1814021","73826342.8115359","93747094.7560689","102798415.794411","156250839.841545","172269188.151724","177986045.607732","185671482.870903","170433762.315386","165873977.801105","140560134.769268","160507675.114223","181051047.355817","169578756.162962","184718394.612119","210322093.556759","223549258.826132","301014357.778797","314038897.140142","283835745.105521","272934274.753837","306451402.712573","332400254.289673","330147278.73948","348672725.29226","363324481.153045","326874161.65079","306438573.576809","346281321.660338","383739877.542959","514463449.229697","522430455.515621","498087432.354654","514720930.232558","499027479.519605","536630400.905482","512727689.054822","485567870.046926","567822651.448639","",
"Central African Republic","CAF","Military expenditure (current USD)","MS.MIL.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21598187.9216042","23185438.1696462","19144450.3695751","10689745.2292396","13014176.1561701","12196218.5662455","","","","","","10681962.9606249","15018926.3592567","15103589.9183206","15396194.6506708","","19112519.7436919","31511483.7931689","35992384.3570119","51585274.5029549","49874328.7289188","42746025.1857394","47923241.4489087","38407009.9214563","26703885.6228391","26832998.8201935","27516264.1779352","30517648.4136581","40777666.6587025","44348098.076355","55515012.0969341","42001802.6564659","62527021.8134447","71174969.9459274","",
"Canada","CAN","Military expenditure (current USD)","MS.MIL.XPND.CD","1702442711.4107","1677820881.08423","1671313753.19292","1610091700.58692","1657457282.98458","1574704539.97291","1614422827.01519","1775500366.17812","1797265817.14572","1770108751.17249","1889157917.90681","2077659711.42515","2233737030.68794","2363060955.12359","2809465529.28173","3180915490.18837","3581805735.1487","3752174526.30589","3969158477.03543","4084145737.65174","4744402251.07336","5141128191.44056","6017321456.07224","6947104071.66388","7349795763.93554","7460563318.39353","7780136739.83447","8694447167.77653","9897335684.27981","10747134688.6376","11414631846.8936","11338503299.2354","10788803123.94","10268822622.0283","9577377639.78794","9176903908.36758","8615884471.23883","7945140182.86606","7748607984.03732","8210778539.84237","8299385230.72365","8375571424.88184","8495399281.21734","9958245601.51315","11336489831.0556","12988132963.6232","14809892802.9902","17417139931.1051","19342058404.5584","18936226051.964","19315688825.0369","21393720863.7223","20452107110.9741","18515731209.9437","17853640477.6849","17937641894.7407","17782775543.0736","22269696323.3229","22729327580.3404","22394875659.3821","23082774049.217","25362240829.3461","25567943876.0417","27227653114.1228","29346897810.219","",
"Central Europe and the Baltics","CEB","Military expenditure (current USD)","MS.MIL.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6950091181.23041","4921672408.04519","4053915445.64515","4099040071.88024","5806738839.58669","7216707403.37366","8713488671.57254","8783923778.72231","8835648376.40127","9130323798.90332","8328579817.02214","7827410072.03942","8686635588.3503","9800990611.2952","11582201537.7961","13140836539.3052","15478777482.1303","16748263400.7929","20752344116.9558","23335153627.9043","19599471008.5283","19367401425.2677","20391732930.507","18892636996.9729","19523157480.9528","20811926923.5535","19833958999.9708","19548479639.2956","22259388605.299","26843394393.3461","29442536923.9094","32140950984.5205","35282889523.7057","36780151814.6978","52818541499.6161","71231210954.8914","",
